Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SLND,"Southland Holdings, Inc. Common Stock",$1.21,-0.04,-3.20%,65,476,774,"",,,"",""
DDC,"DDC Enterprise Limited Class A Ordinary Shares",$2.65,-0.33,-11.074%,64,687,905,"",,,"",""
BDL,"Flanigan's Enterprises, Inc. Common Stock",$33.70,UNCH,--,62,636,404,"",,,"",""
OPHC,"OptimumBank Holdings, Inc. Common Stock",$5.33,0.07,1.331%,61,475,916,"",,,"",""
BRIA,"BrilliA Inc Class A Ordinary Shares",$2.00,-0.11,-5.213%,61,250,000,"",,,"",""
NRXS,"Neuraxis, Inc. Common Stock",$5.69,0.41,7.765%,60,614,500,"",,,"",""
OTH,"Off The Hook YS Inc. Common Stock",$2.55,-0.02,-0.778%,60,562,500,"",,,"",""
PED,"Pedevco Corp. Common Stock",$0.5973,-0.0107,-1.76%,57,053,709,"",,,"",""
MPU,"Mega Matrix Inc. Class A Ordinary Shares",$0.84,-0.0074,-0.873%,56,964,712,"",,,"",""
APT,"Alpha Pro Tech, Ltd. Common Stock",$5.12,UNCH,--,52,656,973,"",,,"",""
CVU,"CPI Aerostructures, Inc. Common Stock",$3.98,0.12,3.109%,52,477,291,"",,,"",""
OSTX,"OS Therapies Incorporated Common Stock",$1.43,0.05,3.623%,50,356,523,"",,,"",""
SMJF,"SMJ International Holdings Inc. Class A Ordinary Shares",$2.00,0.35,21.212%,50,000,000,"",,,"",""
ROLR,"High Roller Technologies, Inc. Common Stock",$4.54,0.16,3.653%,49,441,045,"",,,"",""
SACH,"Sachem Capital Corp. Common Shares",$1.02,UNCH,--,48,644,943,"",,,"",""
JAGU,"Jaguar Uranium Corp. Class A Common Shares",$2.55,-0.08,-3.042%,48,570,131,"",,,"",""
AXIL,"AXIL Brands, Inc. Common Stock",$7.00,0.62,9.718%,47,619,019,"",,,"",""
MGLD,"The Marygold Companies, Inc. Common Stock",$1.11,0.01,0.909%,47,520,445,"",,,"",""
NSRX,"Nasus Pharma Ltd. Ordinary Shares",$5.10,0.0394,0.779%,45,950,995,"",,,"",""
IBO,"Impact BioMedical, Inc. Common Stock",$0.435,0.005,1.163%,45,510,235,"",,,"",""
WYY,"WidePoint Corporation Common Stock",$4.36,-0.10,-2.242%,43,124,769,"",,,"",""
TRT,"Trio-Tech International Common Stock",$4.88,-0.11,-2.204%,42,698,126,"",,,"",""
POAS,"Phaos Technology Holdings (Cayman) Limited Class A Ordinary Shares",$1.47,0.27,22.50%,41,787,691,"",,,"",""
BHM,"Bluerock Homes Trust, Inc. Class A Common Stock",$10.245,-0.255,-2.429%,41,559,529,"",,,"",""
ZDGE,"Zedge, Inc. Class B Common Stock ",$3.19,0.03,0.949%,41,502,238,"",,,"",""
LGL,"LGL Group, Inc. (The) Common Stock",$7.3382,-0.0174,-0.237%,40,591,525,"",,,"",""
NBY,"NovaBay Pharmaceuticals, Inc. Common Stock",$1.53,-0.02,-1.29%,39,970,760,"",,,"",""
GNS,"Genius Group Limited Ordinary Shares",$0.4525,0.0067,1.503%,39,733,492,"",,,"",""
UAVS,"AgEagle Aerial Systems, Inc. Common Stock",$0.9848,-0.0152,-1.52%,39,463,485,"",,,"",""
CVM,"Cel-Sci Corporation Common Stock",$4.56,0.17,3.872%,38,568,330,"",,,"",""
SRXH,"SRX Health Solutions, Inc. Common Stock",$0.1291,-0.0069,-5.074%,38,498,612,"",,,"",""
PTN,"Palatin Technologies, Inc. Common Stock",$20.99,0.03,0.143%,37,198,457,"",,,"",""
KNRX,"KNOREX LTD. Class A Ordinary Shares",$1.20,-0.08,-6.25%,36,507,736,"",,,"",""
ATCH,"AtlasClear Holdings, Inc. Common Stock",$0.2425,0.0025,1.042%,36,300,430,"",,,"",""
ATNM,"Actinium Pharmaceuticals, Inc. (Delaware) Common Stock",$1.15,0.01,0.877%,35,875,275,"",,,"",""
OPTT,"Ocean Power Technologies, Inc. Common Stock",$0.40,-0.005,-1.235%,35,510,490,"",,,"",""
INLX,"Intellinetics, Inc. Common Stock",$7.65,-0.06,-0.778%,34,265,291,"",,,"",""
NTIP,"Network-1 Technologies, Inc. Common Stock",$1.46,-0.015,-1.017%,33,316,705,"",,,"",""
VNRX,"VolitionRX Limited Common Stock",$0.235,-0.0082,-3.372%,31,857,852,"",,,"",""
TOON,"Kartoon Studios, Inc. Common Stock",$0.58,0.0011,0.19%,31,265,304,"",,,"",""
GCDT,"Green Circle Decarbonize Technology Limited Ordinary Shares",$2.50,-0.09,-3.475%,31,250,000,"",,,"",""
INUV,"Inuvo, Inc.",$2.08,0.22,11.828%,30,604,548,"",,,"",""
LSF,"Laird Superfood, Inc. Common Stock",$2.86,-0.09,-3.051%,30,563,470,"",,,"",""
MYO,"Myomo Inc. Common Stock",$0.7842,0.0336,4.476%,30,141,138,"",,,"",""
