Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
KKR,"KKR & Co. Inc. Common Stock",$101.73,0.61,0.603%,90,687,508,705,"",,,"",""
FCX,"Freeport-McMoRan, Inc. Common Stock",$62.84,0.80,1.289%,90,233,882,674,"",,,"",""
USB,"U.S. Bancorp Common Stock",$57.69,-0.14,-0.242%,90,056,089,593,"",,,"",""
AMT,"American Tower Corporation (REIT) Common Stock",$192.10,3.91,2.078%,89,930,966,278,"",,,"",""
PNC,"PNC Financial Services Group, Inc. (The) Common Stock",$229.32,-0.36,-0.157%,89,929,775,983,"",,,"",""
VRT,"Vertiv Holdings, LLC Class A Common Stock",$234.53,-1.98,-0.837%,89,669,804,548,"",,,"",""
ING,"ING Group, N.V. Common Stock",$28.30,-0.52,-1.804%,89,071,170,196,"",,,"",""
CM,"Canadian Imperial Bank of Commerce Common Stock",$95.82,0.52,0.546%,88,680,646,890,"",,,"",""
WMB,"Williams Companies, Inc. (The) Common Stock",$72.28,1.15,1.617%,88,269,699,707,"",,,"",""
FDX,"FedEx Corporation Common Stock",$374.72,5.26,1.424%,88,105,221,612,"",,,"",""
BCS,"Barclays PLC Common Stock",$25.31,-0.23,-0.901%,87,990,798,041,"",,,"",""
ITW,"Illinois Tool Works Inc. Common Stock",$299.60,1.09,0.365%,86,913,960,000,"",,,"",""
ICE,"Intercontinental Exchange Inc. Common Stock",$152.28,2.45,1.635%,86,479,281,000,"",,,"",""
RCL,"Royal Caribbean Cruises Ltd. Common Stock",$319.61,-13.19,-3.963%,86,463,550,922,"",,,"",""
JCI,"Johnson Controls International plc Ordinary Share",$139.24,0.67,0.484%,85,215,501,289,"",,,"",""
BAM,"Brookfield Asset Management Inc Class A Limited Voting Shares",$52.65,0.67,1.289%,84,805,457,736,"",,,"",""
CNQ,"Canadian Natural Resources Limited Common Stock",$40.68,0.69,1.725%,84,740,792,760,"",,,"",""
ECL,"Ecolab Inc. Common Stock",$299.17,-1.52,-0.506%,84,735,610,308,"",,,"",""
CRH,"CRH PLC Ordinary Shares",$125.97,3.12,2.54%,84,316,688,249,"",,,"",""
MRSH,"Marsh Common Stock",$174.06,0.73,0.421%,84,266,667,477,"",,,"",""
EMR,"Emerson Electric Company Common Stock",$148.13,3.15,2.173%,83,219,434,000,"",,,"",""
LYG,"Lloyds Banking Group Plc American Depositary Shares",$5.61,-0.21,-3.608%,83,145,888,058,"",,,"",""
CMI,"Cummins Inc. Common Stock",$601.01,12.22,2.075%,83,038,824,918,"",,,"",""
EQNR,"Equinor ASA",$28.10,0.49,1.775%,82,747,001,346,"",,,"",""
BK,"The Bank of New York Mellon Corporation Common Stock",$117.74,2.83,2.463%,82,105,885,860,"",,,"",""
NU,"Nu Holdings Ltd. Class A Ordinary Shares",$16.82,-0.22,-1.291%,81,049,838,325,"",,,"",""
EPD,"Enterprise Products Partners L.P. Common Stock",$37.21,1.79,5.054%,80,497,176,271,"",,,"",""
B,"Barrick Mining Corporation Common Shares",$47.91,2.53,5.575%,80,266,516,524,"",,,"",""
PWR,"Quanta Services, Inc. Common Stock",$524.08,8.20,1.59%,78,148,654,059,"",,,"",""
CL,"Colgate-Palmolive Company Common Stock",$96.67,0.50,0.52%,77,922,297,943,"",,,"",""
DELL,"Dell Technologies Inc. Class C Common Stock ",$117.49,4.67,4.139%,77,859,401,691,"",,,"",""
CI,"The Cigna Group Common Stock",$291.44,3.83,1.332%,77,851,147,815,"",,,"",""
MSI,"Motorola Solutions, Inc. Common Stock",$461.76,8.32,1.835%,76,908,435,876,"",,,"",""
ELV,"Elevance Health, Inc. Common Stock",$346.80,10.76,3.202%,76,540,378,516,"",,,"",""
MCO,"Moody's Corporation Common Stock",$426.44,11.35,2.734%,76,076,896,000,"",,,"",""
CP,"Canadian Pacific Kansas City Limited Common Shares",$83.78,0.07,0.084%,75,471,641,957,"",,,"",""
SLB,"SLB Limited Common Shares",$50.39,-0.25,-0.494%,75,349,753,529,"",,,"",""
CVNA,"Carvana Co. Class A Common Stock",$342.87,-1.27,-0.369%,74,588,853,206,"",,,"",""
GM,"General Motors Company Common Stock",$81.08,1.15,1.439%,73,293,713,521,"",,,"",""
TDG,"Transdigm Group Incorporated Common Stock",$1,286.67,-9.30,-0.718%,72,662,839,305,"",,,"",""
APO,"Apollo Global Management, Inc. (New) Common Stock",$125.07,-0.30,-0.239%,72,593,451,205,"",,,"",""
AMX,"America Movil, S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares",$23.83,-0.03,-0.126%,72,371,710,000,"",,,"",""
HLT,"Hilton Worldwide Holdings Inc. Common Stock ",$314.62,-7.55,-2.343%,72,139,727,911,"",,,"",""
KMI,"Kinder Morgan, Inc. Common Stock",$32.32,0.63,1.988%,71,904,255,805,"",,,"",""
E,"ENI S.p.A. Common Stock",$43.45,0.57,1.329%,71,355,556,677,"",,,"",""
VALE,"VALE S.A.  American Depositary Shares Each Representing one common share",$16.65,-0.39,-2.289%,71,075,166,804,"",,,"",""
NSC,"Norfolk Southern Corporation Common Stock",$314.94,0.40,0.127%,70,726,713,554,"",,,"",""
COR,"Cencora, Inc. Common Stock",$360.83,9.77,2.783%,70,192,505,986,"",,,"",""
TEL,"TE Connectivity plc Ordinary Shares",$236.19,10.75,4.768%,69,306,240,940,"",,,"",""
AON,"Aon plc Class A Ordinary Shares (Ireland)",$321.70,7.21,2.293%,69,144,674,751,"",,,"",""
RSG,"Republic Services, Inc. Common Stock",$223.17,2.30,1.041%,69,085,308,389,"",,,"",""
DB,"Deutsche Bank AG Common Stock",$35.28,-1.39,-3.791%,68,734,361,783,"",,,"",""
NET,"Cloudflare, Inc. Class A Common Stock",$195.85,10.68,5.768%,68,602,566,165,"",,,"",""
EOG,"EOG Resources, Inc. Common Stock",$120.73,2.88,2.444%,67,611,515,821,"",,,"",""
SU,"Suncor Energy  Inc. Common Stock",$55.99,0.90,1.634%,66,624,839,870,"",,,"",""
TFC,"Truist Financial Corporation Common Stock",$51.90,-0.17,-0.326%,66,392,883,541,"",,,"",""
WPM,"Wheaton Precious Metals Corp Common Shares (Canada)",$145.90,6.73,4.836%,66,241,771,428,"",,,"",""
TRP,"TC Energy Corporation Common Stock",$63.54,2.14,3.485%,66,145,140,000,"",,,"",""
CNI,"Canadian National Railway Company Common Stock",$107.60,0.30,0.28%,65,786,640,000,"",,,"",""
TRV,"The Travelers Companies, Inc. Common Stock",$294.21,-3.22,-1.083%,65,627,487,916,"",,,"",""
LHX,"L3Harris Technologies, Inc. Common Stock",$345.50,5.60,1.648%,64,626,758,639,"",,,"",""
NWG,"NatWest Group plc American Depositary Shares, (each representing two (2) Ordinary Shares)",$16.07,-0.26,-1.592%,64,376,853,070,"",,,"",""
ET,"Energy Transfer LP Common Units ",$18.75,0.49,2.683%,64,376,003,513,"",,,"",""
PSX,"Phillips 66 Common Stock",$159.77,3.51,2.246%,64,374,709,739,"",,,"",""
SPG,"Simon Property Group, Inc. Common Stock",$196.83,5.40,2.821%,64,259,101,910,"",,,"",""
AZO,"AutoZone, Inc. Common Stock",$3,858.16,69.45,1.833%,63,921,304,269,"",,,"",""
SE,"Sea Limited American Depositary Shares, each representing one Class A Ordinary Share",$106.74,-2.32,-2.127%,63,192,207,755,"",,,"",""
SNOW,"Snowflake Inc. Common Stock",$182.29,9.38,5.425%,62,379,638,000,"",,,"",""
APD,"Air Products and Chemicals, Inc. Common Stock",$279.74,-11.76,-4.034%,62,285,791,678,"",,,"",""
DLR,"Digital Realty Trust, Inc. Common Stock",$180.97,0.66,0.366%,62,163,475,865,"",,,"",""
MFC,"Manulife Financial Corporation Common Stock",$36.77,0.96,2.681%,61,956,963,165,"",,,"",""
SRE,"DBA Sempra Common Stock",$94.78,1.99,2.145%,61,861,154,560,"",,,"",""
INFY,"Infosys Limited American Depositary Shares",$14.72,0.51,3.589%,61,150,019,982,"",,,"",""
MPC,"Marathon Petroleum Corporation Common Stock",$203.26,5.24,2.646%,61,100,459,882,"",,,"",""
VLO,"Valero Energy Corporation Common Stock",$200.17,3.26,1.656%,61,053,759,422,"",,,"",""
O,"Realty Income Corporation Common Stock",$65.66,0.88,1.358%,60,401,012,530,"",,,"",""
AFL,"AFLAC Incorporated Common Stock",$114.91,-0.97,-0.837%,60,225,930,202,"",,,"",""
SOMN,"Southern Company (The) 2025 Series A Corporate Units",$52.80,0.43,0.821%,58,138,335,710,"",,,"",""
VST,"Vistra Corp. Common Stock",$171.49,8.39,5.144%,58,105,183,280,"",,,"",""
TAK,"Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock)",$18.46,0.09,0.49%,58,099,144,930,"",,,"",""
MPLX,"MPLX LP Common Units Representing Limited Partner Interests",$56.83,1.68,3.046%,57,799,812,588,"",,,"",""
D,"Dominion Energy, Inc. Common Stock",$66.51,1.39,2.135%,56,793,772,053,"",,,"",""
RELX,"RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share)",$31.06,2.25,7.81%,56,652,740,995,"",,,"",""
F,"Ford Motor Company Common Stock",$14.12,0.12,0.857%,56,331,390,177,"",,,"",""
ZTS,"Zoetis Inc. Class A Common Stock",$126.65,1.01,0.804%,55,813,795,553,"",,,"",""
AU,"AngloGold Ashanti PLC Ordinary Shares",$109.82,5.09,4.86%,55,297,340,851,"",,,"",""
DEO,"Diageo plc Common Stock",$99.17,-0.88,-0.88%,55,198,333,890,"",,,"",""
URI,"United Rentals, Inc. Common Stock",$869.57,0.11,0.013%,54,781,298,687,"",,,"",""
CARR,"Carrier Global Corporation Common Stock ",$65.40,0.51,0.786%,54,664,189,883,"",,,"",""
ALL,"Allstate Corporation (The) Common Stock",$207.51,0.95,0.46%,54,301,571,227,"",,,"",""
OKE,"ONEOK, Inc. Common Stock",$86.11,1.51,1.785%,54,183,129,373,"",,,"",""
GWW,"W.W. Grainger, Inc. Common Stock",$1,131.42,14.82,1.327%,53,798,270,869,"",,,"",""
AJG,"Arthur J. Gallagher & Co. Common Stock",$208.45,3.66,1.787%,53,529,960,000,"",,,"",""
AME,"AMETEK, Inc.",$229.76,1.07,0.468%,52,891,641,860,"",,,"",""
PSA,"Public Storage Common Stock",$300.35,7.98,2.729%,52,700,316,255,"",,,"",""
FERG,"Ferguson Enterprises Inc. Common Stock",$261.36,-2.30,-0.872%,52,637,657,538,"",,,"",""
RKT,"Rocket Companies, Inc. Class A Common Stock",$18.68,0.93,5.239%,52,600,825,424,"",,,"",""
TGT,"Target Corporation Common Stock",$115.76,3.07,2.724%,52,416,870,948,"",,,"",""
CAH,"Cardinal Health, Inc. Common Stock",$220.79,5.73,2.664%,51,955,423,173,"",,,"",""
ASX,"ASE Technology Holding Co., Ltd. American Depositary Shares (each representing Two Common Shares) ",$23.40,-0.06,-0.256%,51,672,880,795,"",,,"",""
MET,"MetLife, Inc. Common Stock",$77.31,-0.05,-0.065%,50,938,913,925,"",,,"",""
CTVA,"Corteva, Inc. Common Stock ",$75.03,0.92,1.241%,50,700,171,960,"",,,"",""
BDX,"Becton, Dickinson and Company Common Stock",$175.89,-1.92,-1.08%,50,083,236,785,"",,,"",""
HLN,"Haleon plc American Depositary Shares (Each representing two Ordinary Shares)",$11.20,0.04,0.358%,49,876,240,344,"",,,"",""
BSBR,"Banco Santander Brasil SA American Depositary Shares, each representing one unit",$6.59,-0.18,-2.659%,49,158,948,039,"",,,"",""
CCJ,"Cameco Corporation Common Stock",$112.90,-3.49,-2.999%,49,157,468,138,"",,,"",""
GFI,"Gold Fields Limited American Depositary Shares",$54.60,2.45,4.698%,48,868,323,886,"",,,"",""
ABEV,"Ambev S.A. American Depositary Shares (Each representing 1 Common Share)",$3.11,-0.09,-2.813%,48,691,899,190,"",,,"",""
FNV,"Franco-Nevada Corporation",$252.18,12.76,5.33%,48,614,528,321,"",,,"",""
DHI,"D.R. Horton, Inc. Common Stock",$167.78,3.19,1.938%,48,606,435,613,"",,,"",""
PCG,"Pacific Gas & Electric Co. Common Stock",$18.16,0.60,3.417%,48,589,876,912,"",,,"",""
TRGP,"Targa Resources, Inc. Common Stock",$223.89,5.63,2.579%,48,059,905,894,"",,,"",""
LNG,"Cheniere Energy, Inc. Common Stock",$220.79,3.10,1.424%,47,521,686,193,"",,,"",""
CMG,"Chipotle Mexican Grill, Inc. Common Stock",$36.30,0.46,1.283%,47,277,954,900,"",,,"",""
MT,"Arcelor Mittal NY Registry Shares NEW",$61.51,-0.08,-0.13%,47,273,302,719,"",,,"",""
FIX,"Comfort Systems USA, Inc. Common Stock",$1,337.95,37.93,2.918%,47,192,105,503,"",,,"",""
ETR,"Entergy Corporation Common Stock",$105.07,3.11,3.05%,46,923,936,703,"",,,"",""
HEI,"Heico Corporation Common Stock",$332.52,4.07,1.239%,46,338,844,329,"",,,"",""
HMC,"Honda Motor Company, Ltd. Common Stock",$31.78,0.35,1.114%,46,044,024,733,"",,,"",""
OXY,"Occidental Petroleum Corporation Common Stock",$46.07,0.58,1.275%,45,388,644,694,"",,,"",""
CCL,"Carnival Corporation Common Stock",$31.77,-0.83,-2.546%,45,278,391,014,"",,,"",""
HSY,"The Hershey Company Common Stock",$222.58,-3.68,-1.626%,45,135,912,455,"",,,"",""
KR,"Kroger Company (The) Common Stock",$71.25,1.11,1.583%,45,090,502,650,"",,,"",""
DAL,"Delta Air Lines, Inc. Common Stock",$69.00,-0.50,-0.719%,45,066,018,852,"",,,"",""
CUK,"Carnival Plc ADS ADS",$31.56,-0.77,-2.382%,44,979,100,422,"",,,"",""
RBLX,"Roblox Corporation Class A Common Stock",$63.17,0.02,0.032%,44,768,960,989,"",,,"",""
YUM,"Yum! Brands, Inc.",$160.57,-2.71,-1.66%,44,582,714,753,"",,,"",""
ROK,"Rockwell Automation, Inc. Common Stock",$394.37,12.37,3.238%,44,310,588,178,"",,,"",""
EW,"Edwards Lifesciences Corporation Common Stock",$75.87,-0.57,-0.746%,44,027,361,000,"",,,"",""
AMP,"Ameriprise Financial, Inc. Common Stock",$473.67,6.37,1.363%,44,006,649,077,"",,,"",""
WAB,"Westinghouse Air Brake Technologies Corporation Common Stock",$256.06,2.27,0.894%,43,775,297,047,"",,,"",""
ARES,"Ares Management Corporation Class A Common Stock",$133.88,-0.06,-0.045%,43,761,236,982,"",,,"",""
UI,"Ubiquiti Inc. Common Stock",$720.06,13.98,1.98%,43,578,602,928,"",,,"",""
